,FVG,Top,Bottom,MitigatedIndex,Respected,StatusIndex
0,,,,,,0
1,,,,,,0
2,,,,,,0
3,,,,,,0
4,,,,,,0
5,,,,,,0
6,,,,,,0
7,,,,,,0
8,-1.0,189.48,187.25999,10.0,False,11
9,,,,,,0
10,1.0,188.86,187.25999,22.0,False,23
11,1.0,197.39999,188.89,13.0,False,22
12,,,,,,0
13,,,,,,0
14,,,,,,0
15,,,,,,0
16,,,,,,0
17,1.0,198.25999,197.57001,22.0,False,22
18,,,,,,0
19,,,,,,0
20,,,,,,0
21,,,,,,0
22,-1.0,198.5,184.59,61.0,False,104
23,-1.0,186.72,181.58,26.0,False,61
24,,,,,,0
25,,,,,,0
26,,,,,,0
27,,,,,,0
28,,,,,,0
29,-1.0,172.41,171.17,32.0,False,32
30,-1.0,169.14999,165.17999,32.0,False,32
31,,,,,,0
32,1.0,167.42,165.17999,36.0,False,45
33,,,,,,0
34,,,,,,0
35,,,,,,0
36,,,,,,0
37,1.0,177.38,171.2,39.0,False,42
38,,,,,,0
39,,,,,,0
40,,,,,,0
41,-1.0,175.3,167.69,43.0,False,47
42,,,,,,0
43,1.0,168.0099945,167.69,45.0,False,45
44,,,,,,0
45,,,,,,0
46,1.0,171.92,170.86,48.0,False,51
47,,,,,,0
48,,,,,,0
49,,,,,,0
50,,,,,,0
51,-1.0,170.36,158.19,53.0,False,61
52,,,,,,0
53,-1.0,153.75,152.2,58.0,False,58
54,-1.0,153.78,150.94,58.0,False,58
55,-1.0,148.7,144.44,57.0,False,58
56,,,,,,0
57,1.0,157.50999,144.44,0.0,,0
58,,,,,,0
59,,,,,,0
60,,,,,,0
61,1.0,182.84,172.12,63.0,False,69
62,,,,,,0
63,,,,,,0
64,,,,,,0
65,,,,,,0
66,,,,,,0
67,-1.0,182.2,176.059998,72.0,False,77
68,,,,,,0
69,,,,,,0
70,,,,,,0
71,1.0,174.070007,173.059998,73.0,False,91
72,,,,,,0
73,,,,,,0
74,,,,,,0
75,,,,,,0
76,,,,,,0
77,1.0,178.12,177.75,79.0,False,79
78,,,,,,0
79,,,,,,0
80,,,,,,0
81,,,,,,0
82,,,,,,0
83,,,,,,0
84,,,,,,0
85,,,,,,0
86,,,,,,0
87,,,,,,0
88,,,,,,0
89,,,,,,0
90,-1.0,175.58,174.75,92.0,False,92
91,,,,,,0
92,1.0,181.23,174.75,94.0,True,94
93,,,,,,0
94,,,,,,0
95,,,,,,0
96,,,,,,0
97,,,,,,0
98,,,,,,0
99,,,,,,0
100,,,,,,0
101,1.0,194.050003,187.97,128.0,True,128
102,,,,,,0
103,,,,,,0
104,1.0,218.059998,203.2,120.0,False,128
105,1.0,234.25,213.23,112.0,False,127
106,1.0,242.46001,231.3,111.0,False,120
107,,,,,,0
108,,,,,,0
109,,,,,,0
110,,,,,,0
111,-1.0,257.85999,251.84,113.0,False,166
112,,,,,,0
113,,,,,,0
114,,,,,,0
115,,,,,,0
116,,,,,,0
117,,,,,,0
118,,,,,,0
119,-1.0,243.75,225.99001,121.0,False,160
120,-1.0,245.63,226.0,123.0,False,162
121,,,,,,0
122,,,,,,0
123,,,,,,0
124,,,,,,0
125,,,,,,0
126,-1.0,226.78999,216.13,137.0,False,150
127,-1.0,214.33,203.88,134.0,False,137
128,,,,,,0
129,,,,,,0
130,,,,,,0
131,,,,,,0
132,,,,,,0
133,,,,,,0
134,,,,,,0
135,,,,,,0
136,1.0,210.8,208.44,141.0,False,145
137,,,,,,0
138,,,,,,0
139,,,,,,0
140,,,,,,0
141,,,,,,0
142,,,,,,0
143,,,,,,0
144,,,,,,0
145,,,,,,0
146,,,,,,0
147,,,,,,0
148,,,,,,0
149,1.0,222.25,219.89999,151.0,False,151
150,,,,,,0
151,-1.0,222.25,219.87,153.0,False,153
152,,,,,,0
153,,,,,,0
154,,,,,,0
155,,,,,,0
156,,,,,,0
157,,,,,,0
158,,,,,,0
159,,,,,,0
160,1.0,235.92,235.67999,175.0,False,176
161,,,,,,0
162,1.0,249.050003,243.99001,168.0,False,170
163,1.0,252.28,250.0,165.0,False,169
164,,,,,,0
165,,,,,,0
166,,,,,,0
167,,,,,,0
168,-1.0,255.77,251.16,185.0,False,185
169,,,,,,0
170,,,,,,0
