,FVG,Top,Bottom,MitigatedIndex,Respected,StatusIndex
0,,,,,,0
1,1.0,330.47,328.98999,3.0,False,8
2,,,,,,0
3,,,,,,0
4,,,,,,0
5,,,,,,0
6,,,,,,0
7,,,,,,0
8,,,,,,0
9,,,,,,0
10,,,,,,0
11,,,,,,0
12,,,,,,0
13,,,,,,0
14,1.0,329.0,328.76001,16.0,False,26
15,,,,,,0
16,,,,,,0
17,,,,,,0
18,,,,,,0
19,,,,,,0
20,,,,,,0
21,,,,,,0
22,,,,,,0
23,,,,,,0
24,,,,,,0
25,,,,,,0
26,,,,,,0
27,,,,,,0
28,,,,,,0
29,,,,,,0
30,,,,,,0
31,,,,,,0
32,,,,,,0
33,,,,,,0
34,,,,,,0
35,,,,,,0
36,1.0,330.92041,330.41,38.0,False,39
37,,,,,,0
38,,,,,,0
39,,,,,,0
40,,,,,,0
41,,,,,,0
42,1.0,331.14999,330.685,47.0,False,68
43,,,,,,0
44,,,,,,0
45,,,,,,0
46,,,,,,0
47,,,,,,0
48,,,,,,0
49,,,,,,0
50,,,,,,0
51,-1.0,334.26001,333.69,53.0,False,392
52,,,,,,0
53,,,,,,0
54,,,,,,0
55,,,,,,0
56,,,,,,0
57,,,,,,0
58,,,,,,0
59,,,,,,0
60,,,,,,0
61,,,,,,0
62,,,,,,0
63,,,,,,0
64,,,,,,0
65,,,,,,0
66,-1.0,333.14999,332.91,73.0,False,76
67,,,,,,0
68,-1.0,331.91,331.26999,70.0,False,72
69,,,,,,0
70,,,,,,0
71,,,,,,0
72,1.0,331.98001,331.32001,80.0,False,80
73,,,,,,0
74,,,,,,0
75,,,,,,0
76,,,,,,0
77,,,,,,0
78,,,,,,0
79,,,,,,0
80,-1.0,332.079987,308.70999,106.0,False,367
81,,,,,,0
82,,,,,,0
83,,,,,,0
84,,,,,,0
85,,,,,,0
86,,,,,,0
87,,,,,,0
88,,,,,,0
89,,,,,,0
90,,,,,,0
91,,,,,,0
92,,,,,,0
93,,,,,,0
94,1.0,303.34,302.98001,97.0,False,236
95,,,,,,0
96,,,,,,0
97,,,,,,0
98,,,,,,0
99,,,,,,0
100,,,,,,0
101,,,,,,0
102,1.0,305.059998,304.64999,105.0,False,236
103,1.0,306.23001,305.26999,105.0,False,105
104,,,,,,0
