,OB,Top,Bottom,StartIndex,EndIndex
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,1.0,662.48,661.3201,29.0,35.0
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,-1.0,663.85,662.7001,46.0,50.0
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,1.0,662.85,662.12,52.0,57.0
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,-1.0,663.99,662.3,57.0,61.0
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,1.0,659.15,657.78,72.0,75.0
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,-1.0,658.475,657.5901,77.0,79.0
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,1.0,655.84,654.39,97.0,100.0
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,-1.0,659.5,658.8,135.0,138.0
136,,,,,
137,1.0,659.5,657.84,137.0,139.0
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,-1.0,667.64,666.22,149.0,151.0
150,,,,,
151,,,,,
152,,,,,
153,1.0,666.5,664.81,153.0,156.0
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,-1.0,667.3,666.18,159.0,164.0
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,1.0,666.56,665.52,166.0,170.0
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
